name,URL,parkCode,description,latitude,longitude,designation,physical address
Constitution Gardens,https://www.nps.gov/coga/index.htm,coga,"Officially established in 1965, National Mall and Memorial Parks actually protects some of the older parkland in the National Park System. Areas within this premier park provide visitors with ample opportunities to commemorate presidential legacies; honor the courage and sacrifice of war veterans; and celebrate the United States commitment to freedom and equality.",38.8909354,-77.04409306,,"1850 Constitution Ave. NW

Washington, DC 20002"
Coronado National Memorial,https://www.nps.gov/coro/index.htm,coro,"It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today.",31.34900397,-110.2561574,National Memorial,"4101 E Montezuma Canyon Road

Hereford, AZ 85615"
Cowpens National Battlefield,https://www.nps.gov/cowp/index.htm,cowp,"“…our success was complete…” -- Daniel Morgan to Nathanael Greene, January 19, 1781 A pasturing area at the time of the battle, this Revolutionary War site commemorates the place where Daniel Morgan and his army turned the flanks of Banastre Tarleton's British army. This classic military tactic, known as a double envelopment, was one of only a few in history.",35.13160654,-81.80935433,National Battlefield,"Cowpens National Battlefield
4001 Chesnee Hwy
Gaffney, SC 29341"
Crater Lake National Park,https://www.nps.gov/crla/index.htm,crla,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.",42.94065854,-122.1338414,National Park,"Crater Lake National Park
1 Sager Building
Crater Lake, OR 97604"
Craters Of The Moon National Monument & Preserve,https://www.nps.gov/crmo/index.htm,crmo,"Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow.",43.20345611,-113.4791609,National Monument & Preserve,"Craters of the Moon National Monument
1266 Craters Loop Road
Arco, ID 83213"
Cumberland Gap National Historical Park,https://www.nps.gov/cuga/index.htm,cuga,"At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.",36.62503076,-83.6114083,National Historical Park,"91 Bartlett Park Road

Middlesboro, KY 40965"
Cumberland Island National Seashore,https://www.nps.gov/cuis/index.htm,cuis,"St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here. Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness.",30.85857484,-81.45253575,National Seashore,"113 St. Marys St W

St. Marys, GA 31558"
Curecanti National Recreation Area,https://www.nps.gov/cure/index.htm,cure,"Curecanti National Recreation Area is a series of three reservoirs along the once wild Gunnison River. The reservoirs that make up Curecanti today are a destination for water-based recreation high in the Rocky Mountains. Best known for salmon and trout fishing, Curecanti also offers opportunities for hiking, boating, camping, and bird watching.",38.46584558,-107.3303371,National Recreation Area,"102 Elk Creek

Gunnison, CO 81230"
Cuyahoga Valley National Park,https://www.nps.gov/cuva/index.htm,cuva,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.",41.26093905,-81.57116722,National Park,"6947 Riverview Road

Peninsula, OH 44264"
César E. Chávez National Monument,https://www.nps.gov/cech/index.htm,cech,"Yes, we can! Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions",35.22729389,-118.5615781,National Monument,"29700 Woodford-Tehachapi Road

Keene, CA 93531"
Dayton Aviation Heritage National Historical Park,https://www.nps.gov/daav/index.htm,daav,"Three exceptional men from Dayton, Ohio, Wilbur Wright, Orville Wright and Paul Laurence Dunbar, found their creative outlet here through accomplishments and failures, and finally success. However, these men offered the world something far greater, they offered the world hope, and the ability to take a dream and make it a reality.",39.78944467,-84.10442045,National Historical Park,"16 South Williams Street

Dayton, OH 45402"
De Soto National Memorial,https://www.nps.gov/deso/index.htm,deso,"In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.",27.52272613,-82.64335416,National Memorial,"8300 De Soto Memorial Hwy

Bradenton, FL 34209"
Death Valley National Park,https://www.nps.gov/deva/index.htm,deva,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.",36.48753731,-117.134395,National Park,"PO Box 579

Death Valley, CA 92328"
Delaware Water Gap National Recreation Area,https://www.nps.gov/dewa/index.htm,dewa,"Need to get away from everything for a while? We know the place. This sacred land has been cherished by people for over 10,000 years. Its fields and forests a bounty for those that have come before us, and a national treasure for us to enjoy today. With waterfalls, over 100 miles of hiking trails and three swim beaches that allow grilling, there's lots of ways to #FindYourPark #EcuentraTuParque",41.12793491,-74.94751173,National Recreation Area,"1978 River Road

Bushkill, PA 18324"
Denali National Park & Preserve,https://www.nps.gov/dena/index.htm,dena,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.",63.29777484,-151.0526568,National Park & Preserve,"Mile 237 Highway 3

Denali Park, AK 99755"
Devils Postpile National Monument,https://www.nps.gov/depo/index.htm,depo,"Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery. The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its' columns tower up to 60 feet and display a striking symmetry.",37.6152564,-119.0873903,National Monument,"Devils Postpile Access Road

Mammoth Lakes, CA 93546"
Devils Tower National Monument,https://www.nps.gov/deto/index.htm,deto,"The Tower is an astounding geologic feature that protrudes out of the prairie surrounding the Black Hills. It is considered sacred by Northern Plains Indians and indigenous people. Hundreds of parallel cracks make it one of the finest crack climbing areas in North America. Devils Tower entices us to learn more, explore more and define our place in the natural and cultural world.",44.59064655,-104.7156341,National Monument,"149 State Highway 110

Devils Tower, WY 82714"
Dinosaur National Monument,https://www.nps.gov/dino/index.htm,dino,"Dinosaurs once roamed here. Their fantastic remains are still visibly embedded in the rocks. Today, the mountains, desert, and untamed rivers flowing in deep canyons support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore.",40.50739742,-108.9333714,National Monument,"11625 E 1500 S

Jensen, UT 84035"
Dry Tortugas National Park,https://www.nps.gov/drto/index.htm,drto,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands. Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.",24.628741,-82.87319,National Park,"40001 SR-9336

Homestead, FL 33034"
Dwight D. Eisenhower Memorial,https://www.nps.gov/ddem/index.htm,ddem,The Dwight D. Eisenhower Memorial tells the story of one of America's greatest leaders of the 20th century.,38.8869476647494,-77.0187375540026,Memorial,"540 Independence Avenue SW

Washington, DC 20202"
Ebey's Landing National Historical Reserve,https://www.nps.gov/ebla/index.htm,ebla,"This stunning landscape at the gateway to Puget Sound, with its rich farmland and promising seaport, lured the earliest American pioneers north of the Columbia River to Ebey’s Landing. Today Ebey’s Landing National Historical Reserve preserves the historical, agricultural and cultural traditions of both Native and Euro-American – while offering spectacular opportunities for recreation.",48.21403036,-122.6877213,National Historical Reserve,"162 Cemetery Road

Coupeville, WA 98239"
Edgar Allan Poe National Historic Site,https://www.nps.gov/edal/index.htm,edal,"Described as horrifying, mystifying, and brilliant, Poe’s writing has engaged readers all over the globe. The six years Edgar Allan Poe lived in Philadelphia were his happiest and most productive. Yet Poe also struggled with bad luck, personal demons and his wife’s illness. In Poe’s humble home, reflect on the human spirit surmounting crushing obstacles, and celebrate Poe’s astonishing creativity.",39.96195482,-75.1500062,National Historic Site,"532 N. 7th Street

Philadelphia, PA 19123"
Effigy Mounds National Monument,https://www.nps.gov/efmo/index.htm,efmo,"The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.",43.08095081,-91.19687517,National Monument,"151 Hwy 76

Harpers Ferry, IA 52146"
Eisenhower National Historic Site,https://www.nps.gov/eise/index.htm,eise,"Eisenhower National Historic Site preserves the farm of General and 34th President Dwight D. Eisenhower. Adjacent to the Gettysburg battlefield, the farm served the president and first lady as a weekend retreat and as a meeting place for world leaders. With its peaceful setting and view of South Mountain, it was a respite from Washington, DC, and a backdrop for efforts to reduce Cold War tensions.",39.79577592,-77.26508101,National Historic Site,"243 Eisenhower Farm Road

Gettysburg, PA 17325"
El Camino Real de Tierra Adentro National Historic Trail,https://www.nps.gov/elca/index.htm,elca,"Travel along El Camino Real de Tierra Adentro National Historic Trail to experience and learn from a complicated legacy of 300 years of conflict, cooperation, and cultural exchange between a variety of empires—European and non-European alike.",33.7990672546168,-106.866386194673,National Historic Trail,"National Trails Office  Regions 6|7|8
El Camino Real de Tierra Adentro National Historic Trail
Santa Fe, NM 87505"
El Camino Real de los Tejas National Historic Trail,https://www.nps.gov/elte/index.htm,elte,"Explore a diverse array of histories contained within El Camino Real de los Tejas’ 150-year life, including the Spanish struggle to missionize American Indian nations, the growth of cattle ranching in the Mexican period, and the movement for Texan independence and statehood.",30.0922964581204,-97.3397666724756,National Historic Trail,"National Trails Office Regions 6|7|8
El Camino Real de los Tejas National Historic Trail
Santa Fe, NM 87505"
El Malpais National Monument,https://www.nps.gov/elma/index.htm,elma,"The richly diverse volcanic landscape of El Malpais (el-mal-pie-EES) offers solitude, recreation, and adventure. Explore incredible geologic features such as lava flows, cinder cones, lava tube caves, and sandstone bluffs. While some may see a desolate environment, people have been adapting to and living in this extraordinary terrain for generations. Come discover the land of fire and ice!",34.88422799,-107.9950948,National Monument,"1900 E. Santa Fe Ave.

Grants, NM 87020"
El Morro National Monument,https://www.nps.gov/elmo/index.htm,elmo,"Imagine the refreshment of finding water after days of dusty travel. A reliable waterhole hidden at the base of a sandstone bluff made El Morro (the headland) a popular campsite for hundreds of years. Here, Ancestral Puebloans, Spanish and American travelers carved over 2,000 signatures, dates, messages, and petroglyphs. Make El Morro National Monument a stopping point on your travels.",35.03895916,-108.3463984,National Monument,"Mile Marker 44.6 Hwy 53

Ramah, NM 87321"
Eleanor Roosevelt National Historic Site,https://www.nps.gov/elro/index.htm,elro,"Visit the home of Eleanor Roosevelt. Here, Franklin and Eleanor entertained friends, state visitors, the press, and their associates in the tranquil and relaxed atmosphere of Val-Kill. Explore the Roosevelt saga in the homes of Franklin and Eleanor Roosevelt, the exhibits at the nation’s first Presidential Library, and over a thousand acres of gardens and trails.",41.76208482,-73.89894026,National Historic Site,"54 Valkill Park Road

Hyde Park, NY 12538"
Ellis Island Part of Statue of Liberty National Monument,https://www.nps.gov/elis/index.htm,elis,"How far would you travel to find a better life? What if the journey took weeks under difficult conditions? If you answered ""Whatever it takes,"" you echo the feelings of the 12 million immigrants who passed through these now quiet halls from 1892 to 1954. Ellis Island afforded them the opportunity to attain the American dream for themselves and their descendants. Come hear their stories.",40.69946,-74.0401,Part of Statue of Liberty National Monument,"Ellis Island National Museum of Immigration
Statue of Liberty National Monument
New York, NY 10004"
Eugene O'Neill National Historic Site,https://www.nps.gov/euon/index.htm,euon,"America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten.",37.82604456,-122.0271566,National Historic Site,"205 Railroad Avenue

Danville, CA 94526"
Everglades National Park,https://www.nps.gov/ever/index.htm,ever,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee, American crocodile, and the elusive Florida panther. An international treasure as well - a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.",25.37294225,-80.88200301,National Park,"40001 State Road 9336

Homestead, FL 33034"
Federal Hall National Memorial,https://www.nps.gov/feha/index.htm,feha,"Here on Wall Street, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.",40.70731192,-74.01025636,National Memorial,"26 Wall Street

New York, NY 10005"
Fire Island National Seashore,https://www.nps.gov/fiis/index.htm,fiis,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.",40.69668638,-73.00013462,National Seashore,"120 Laurel Street

Patchogue, NY 11772"
First Ladies National Historic Site,https://www.nps.gov/fila/index.htm,fila,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and a small visitor center with an exhibit and film. Come learn about how the position of First Lady has evolved over time to include a public role.",40.79689857,-81.37579869,National Historic Site,"205 Market Avenue South

Canton, OH 44702-2107"
First State National Historical Park,https://www.nps.gov/frst/index.htm,frst,"Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley. From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.",39.83076929,-75.56353942,National Historical Park,"New Castle Court House Museum
211 Delaware Street
New Castle, DE 19720"
Flight 93 National Memorial,https://www.nps.gov/flni/index.htm,flni,"On Tuesday morning, September 11, 2001, the U.S. came under attack when four commercial airliners were hijacked and used to strike targets on the ground. Nearly 3,000 people tragically lost their lives. Because of the actions of the 40 passengers and crew aboard one of the planes, Flight 93, the attack on the U.S. Capitol was thwarted.",40.06061476,-78.89456905,National Memorial,"6424 Lincoln Highway

Stoystown, PA 15563"
Florissant Fossil Beds National Monument,https://www.nps.gov/flfo/index.htm,flfo,"Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.",38.91260586,-105.2803396,National Monument,"15807 Teller County Road 1

Florissant, CO 80816"
Ford's Theatre,https://www.nps.gov/foth/index.htm,foth,"April 14, 1865. President Lincoln is assassinated at Ford’s Theatre. Discover how a nation handled grief and loss, how everyday people experienced a national tragedy, and how we have remembered a fallen leader. Today, in partnership with Ford’s Theatre Society, live dramatic productions highlight Lincoln’s love of the theatre, and the power of stories to connect us to ourselves and our history.",38.89668819,-77.02577944,,"511 10th Street NW

Washington, DC 20004"
Fort Bowie National Historic Site,https://www.nps.gov/fobo/index.htm,fobo,"Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land.",32.14925942,-109.451132,National Historic Site,"3500 South Apache Pass Road

Bowie, AZ 85605"
Fort Davis National Historic Site,https://www.nps.gov/foda/index.htm,foda,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",30.59930381,-103.8961904,National Historic Site,"101 Lt. Flipper Dr. #1379
P.O. Box 1379
Fort Davis, TX 79734"
Fort Donelson National Battlefield,https://www.nps.gov/fodo/index.htm,fodo,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",36.49019078,-87.92445695,National Battlefield,"174 National Cemetery Drive
PO Box 434
Dover, TN 37058"
Fort Dupont Park,https://www.nps.gov/fodu/index.htm,fodu,"This 376 acre wooded park was once home to an earthen fort built to protect Washington, DC, during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs.",38.87731289,-76.94955824,,"National Capitol Parks-East
1900 Anacostia Drive SE
Washington, DC 20020"
Fort Foote Park,https://www.nps.gov/fofo/index.htm,fofo,"Fort Foote was constructed in 1863 atop Rozier's Bluff to strengthen the ring of fortifications that encircled Washington, D.C. Two of the Guns that protected Washington are still there along with the remains of the fort's earthworks.",38.76901785,-77.02812387,Park,"8915 Fort Foote Road

Oxon Hill, MD 20745"
Fort Frederica National Monument,https://www.nps.gov/fofr/index.htm,fofr,"Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service.",31.2214699,-81.39452014,National Monument,"Fort Frederica National Monument
6515 Frederica Rd.
St. Simons Island, GA 31522"
Fort Laramie National Historic Site,https://www.nps.gov/fola/index.htm,fola,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.",42.20301694,-104.5459112,National Historic Site,"965 Gray Rocks Road

Fort Laramie, WY 82212"
Fort Larned National Historic Site,https://www.nps.gov/fols/index.htm,fols,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,38.18047491,-99.21836664,National Historic Site,"1767 KS Hwy 156

Larned, KS 67550"
Fort Matanzas National Monument,https://www.nps.gov/foma/index.htm,foma,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.",29.7121489,-81.23567535,National Monument,"8635 A1A South

Saint Augustine, FL 32080"
Fort McHenry National Monument and Historic Shrine,https://www.nps.gov/fomc/index.htm,fomc,"by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars... were so gallantly streaming...over Fort McHenry! The valiant defense of the fort during the Battle of Baltimore on September 13-14, 1814 inspired Francis Scott Key to write the words that became the U.S. national anthem. The fort's history holds many other stories too, from the Civil War to WWII.",39.26395314,-76.58044165,National Monument and Historic Shrine,"2400 East Fort Avenue

Baltimore, MD 21230"
Fort Monroe National Monument,https://www.nps.gov/fomr/index.htm,fomr,"Fort Monroe National Monument has a diverse history spanning the American story from American Indian presence, Captain John Smith's journeys, first arrival of enslaved Africans in English North America, a safe haven for freedom seekers during the American Civil War, and a bastion of defense for the Chesapeake Bay through the 21st Century. Visit and witness the on-going preservation work in action.",37.01733343,-76.30103195,National Monument,"41 Bernard Road
Building #17
Fort Monroe, VA 23651-1001"
Fort Necessity National Battlefield,https://www.nps.gov/fone/index.htm,fone,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.",39.81306048,-79.59033344,National Battlefield,"1 Washington Parkway

Farmington, PA 15437"
Fort Point National Historic Site,https://www.nps.gov/fopo/index.htm,fopo,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.",37.80837439,-122.473747,National Historic Site,"Fort Point National Historic Site
Building 999, Marine Drive
San Francisco, CA 94129"
Fort Pulaski National Monument,https://www.nps.gov/fopu/index.htm,fopu,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.",32.0308274,-80.93361681,National Monument,"101 Fort Pulaski Road
Fort Pulaski Visitor Center
Savannah, GA 31410"
Fort Raleigh National Historic Site,https://www.nps.gov/fora/index.htm,fora,"Fort Raleigh National Historic Site protects and preserves known portions of England's first New World settlements from 1584 to 1590. This site also preserves the cultural heritage of the Native Americans, European Americans and African Americans who have lived on Roanoke Island.",35.93278602,-75.71496865,National Historic Site,"1500 Fort Raleigh Road

Manteo, NC 27954"
Fort Scott National Historic Site,https://www.nps.gov/fosc/index.htm,fosc,"Promises made and broken! Who deserves to be free? The fight for freedom! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.",37.84358849,-94.70429174,National Historic Site,"1 Old Fort Blvd.

Fort Scott, KS 66701"
Fort Smith National Historic Site,https://www.nps.gov/fosm/index.htm,fosm,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them. From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.",35.38834746,-94.43129079,National Historic Site,"301 Parker Ave

Fort Smith, AR 72901"
Fort Stanwix National Monument,https://www.nps.gov/fost/index.htm,fost,"For centuries, the Oneida Carrying Place, a six mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.",43.21053441,-75.45557626,National Monument,"100 North James St.

Rome, NY 13440"
Fort Sumter and Fort Moultrie National Historical Park,https://www.nps.gov/fosu/index.htm,fosu,"Two forts stand at the entrance of Charleston Harbor. Patriots inside a palmetto log fort, later named Fort Moultrie, defeated the Royal Navy in 1776. As Charleston blazed a path towards secession to preserve slavery, construction on a new fort, Fort Sumter, proceeded. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861 opening the Civil War, which redefined American freedom.",32.75654469,-79.87068744,National Historical Park,"340 Concord Street

Charleston, SC 29401"
Fort Union National Monument,https://www.nps.gov/foun/index.htm,foun,"Exposed to the wind, within a sweeping valley of short grass prairie, amid the swales of the Santa Fe Trail, lie the territorial-style adobe remnants of the largest 19th century military fort in the region. For forty years, 1851-1891, Fort Union functioned as an agent of political and cultural change, whether desired or not, in New Mexico and throughout the Southwest.",35.90700629,-105.0145185,National Monument,"3115 NM Highway 161

Watrous, NM 87753"
Fort Union Trading Post National Historic Site,https://www.nps.gov/fous/index.htm,fous,"Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.",48.00075828,-104.0375238,National Historic Site,"15550 Highway 1804

Williston, ND 58801"
Fort Vancouver National Historic Site,https://www.nps.gov/fova/index.htm,fova,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.",45.62234841,-122.6617043,National Historic Site,"1501 E Evergreen Blvd

Vancouver, WA 98661"
Fort Washington Park,https://www.nps.gov/fowa/index.htm,fowa,"Built to defend the river approach to Washington, DC, Fort Washington has stood as silent sentry for over 200 years. As technologies advanced so did Fort Washington, from the brick and stone of the 19th century to the concrete and steel of the 20th century. Joining the National Park Service in 1946, the park continues to protect the Potomac River.",38.7117,-77.0302,Park,"13551 Fort Washington Road

Fort Washington, MD 20744"
Fossil Butte National Monument,https://www.nps.gov/fobu/index.htm,fobu,"Some of the world's best preserved fossils are found in the flat-topped ridges of southwestern Wyoming's cold sagebrush desert. Fossilized fishes, insects, plants, reptiles, birds, and mammals are exceptional for their abundance, variety, and detail of preservation. Most remarkable is the story they tell of ancient life in a subtropical landscape.",41.85635223,-110.7624754,National Monument,"864 Chicken Creek Road

Kemmerer, WY 83101"
Franklin Delano Roosevelt Memorial,https://www.nps.gov/frde/index.htm,frde,These words by President Franklin Delano Roosevelt ushered the United States into World War II and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy.,38.88341274,-77.04311542,,"400 West Basin Drive SW

Washington, DC 20002"
Frederick Douglass National Historic Site,https://www.nps.gov/frdo/index.htm,frdo,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.",38.86298458,-76.98508147,National Historic Site,"1411 W Street SE

Washington, DC 20020"
Frederick Law Olmsted National Historic Site,https://www.nps.gov/frla/index.htm,frla,"Frederick Law Olmsted (1822-1903) is recognized as the founder of American landscape architecture and the nation's foremost parkmaker. Olmsted moved his home to suburban Boston in 1883 and established the world's first full-scale professional office for the practice of landscape design. During the next century, his sons and successors perpetuated Olmsted's design ideals, philosophy, and influence.",42.32424266,-71.13202567,National Historic Site,"99 Warren Street

Brookline, MA 02445"
Fredericksburg & Spotsylvania National Military Park,https://www.nps.gov/frsp/index.htm,frsp,"Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania--this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.",38.29378,-77.46734,National Military Park,"120 Chatham Ln

Fredericksburg, VA 22405"
Freedom Riders National Monument,https://www.nps.gov/frri/index.htm,frri,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel.",33.6352691650391,-85.9064331054688,National Monument,"Freedom Riders National Monument
1031 Gurnee Ave
Anniston, AL 36201"
